Epoch, Train, Valid, Min
1, 0.1703, 0.0863, 9.06
2, 0.0724, 0.0616, 11.19
3, 0.0546, 0.0488, 9.14
4, 0.0455, 0.0428, 9.11
5, 0.0399, 0.0388, 9.05
6, 0.0361, 0.0369, 9.02
7, 0.0330, 0.0346, 9.06
8, 0.0308, 0.0319, 9.17
9, 0.0287, 0.0300, 9.06
10, 0.0272, 0.0311, 9.09
11, 0.0260, 0.0282, 9.08
12, 0.0249, 0.0285, 9.13
13, 0.0240, 0.0259, 11.27
14, 0.0233, 0.0257, 9.02
15, 0.0226, 0.0255, 9.09
16, 0.0219, 0.0253, 9.12
17, 0.0216, 0.0246, 9.18
18, 0.0212, 0.0237, 9.19
19, 0.0207, 0.0233, 9.15
20, 0.0204, 0.0257, 9.09
21, 0.0200, 0.0231, 9.12
22, 0.0197, 0.0241, 9.08
23, 0.0195, 0.0226, 9.17
24, 0.0192, 0.0225, 9.19
25, 0.0190, 0.0229, 11.23
26, 0.0188, 0.0222, 9.13
27, 0.0186, 0.0227, 9.10
28, 0.0184, 0.0218, 9.11
29, 0.0182, 0.0221, 9.17
30, 0.0180, 0.0225, 9.12
31, 0.0178, 0.0213, 9.16
32, 0.0177, 0.0224, 9.17
33, 0.0176, 0.0214, 9.15
34, 0.0175, 0.0233, 9.16
35, 0.0172, 0.0211, 9.16
36, 0.0173, 0.0211, 9.15
37, 0.0171, 0.0210, 11.29
38, 0.0169, 0.0210, 9.17
39, 0.0168, 0.0201, 9.16
40, 0.0167, 0.0214, 9.17
41, 0.0167, 0.0201, 9.14
42, 0.0165, 0.0206, 9.14
43, 0.0165, 0.0238, 9.13
44, 0.0164, 0.0201, 9.13
45, 0.0163, 0.0205, 9.11
46, 0.0162, 0.0209, 9.14
47, 0.0161, 0.0212, 9.13
48, 0.0160, 0.0203, 9.14
49, 0.0160, 0.0213, 11.22
50, 0.0159, 0.0204, 9.14
51, 0.0158, 0.0206, 9.09
52, 0.0158, 0.0199, 9.11
53, 0.0157, 0.0198, 9.11
54, 0.0156, 0.0199, 9.10
55, 0.0156, 0.0196, 9.11
56, 0.0155, 0.0195, 9.11
57, 0.0155, 0.0197, 9.11
58, 0.0154, 0.0195, 9.11
59, 0.0153, 0.0201, 9.11
60, 0.0153, 0.0194, 9.09
61, 0.0152, 0.0198, 11.23
62, 0.0152, 0.0200, 9.10
63, 0.0152, 0.0198, 9.12
64, 0.0151, 0.0195, 9.11
65, 0.0151, 0.0195, 9.09
66, 0.0150, 0.0197, 9.12
67, 0.0150, 0.0191, 9.16
68, 0.0149, 0.0191, 9.10
69, 0.0149, 0.0191, 9.12
70, 0.0149, 0.0188, 9.11
71, 0.0148, 0.0193, 9.11
72, 0.0148, 0.0188, 9.11
73, 0.0147, 0.0190, 11.23
74, 0.0147, 0.0206, 9.11
75, 0.0146, 0.0195, 9.12
76, 0.0146, 0.0195, 9.15
77, 0.0146, 0.0197, 9.13
78, 0.0145, 0.0199, 9.13
79, 0.0145, 0.0191, 9.11
80, 0.0145, 0.0189, 9.13
81, 0.0145, 0.0195, 9.14
82, 0.0144, 0.0190, 9.12
83, 0.0144, 0.0194, 9.10
84, 0.0144, 0.0198, 9.14
85, 0.0143, 0.0193, 11.24
86, 0.0143, 0.0187, 9.15
87, 0.0143, 0.0187, 9.12
88, 0.0143, 0.0188, 9.08
89, 0.0143, 0.0190, 9.15
90, 0.0142, 0.0191, 9.12
91, 0.0142, 0.0191, 9.10
92, 0.0142, 0.0193, 9.11
93, 0.0141, 0.0185, 9.11
94, 0.0141, 0.0187, 9.11
95, 0.0141, 0.0193, 9.12
96, 0.0141, 0.0181, 9.11
97, 0.0140, 0.0188, 11.22
98, 0.0140, 0.0189, 9.14
99, 0.0140, 0.0199, 9.11
100, 0.0139, 0.0182, 9.10
101, 0.0139, 0.0193, 9.12
102, 0.0139, 0.0184, 9.14
103, 0.0139, 0.0186, 9.11
104, 0.0139, 0.0194, 9.09
105, 0.0139, 0.0203, 9.10
106, 0.0138, 0.0192, 9.11
107, 0.0138, 0.0185, 9.12
108, 0.0138, 0.0189, 9.10
109, 0.0138, 0.0186, 11.06
110, 0.0138, 0.0185, 9.11
111, 0.0138, 0.0182, 9.09
112, 0.0137, 0.0184, 9.10
113, 0.0137, 0.0185, 9.11
114, 0.0137, 0.0184, 9.10
115, 0.0137, 0.0181, 9.11
116, 0.0136, 0.0185, 9.13
117, 0.0136, 0.0184, 9.13
118, 0.0137, 0.0186, 9.10
119, 0.0136, 0.0191, 9.12
120, 0.0136, 0.0180, 9.11
121, 0.0135, 0.0185, 11.18
122, 0.0136, 0.0182, 9.14
123, 0.0135, 0.0184, 9.09
124, 0.0135, 0.0186, 9.09
125, 0.0135, 0.0184, 9.13
126, 0.0135, 0.0183, 9.13
127, 0.0135, 0.0179, 9.12
128, 0.0135, 0.0187, 9.12
129, 0.0134, 0.0181, 9.13
130, 0.0134, 0.0183, 9.15
131, 0.0134, 0.0181, 9.12
132, 0.0134, 0.0182, 11.16
133, 0.0134, 0.0182, 9.04
134, 0.0133, 0.0181, 9.15
135, 0.0134, 0.0186, 9.11
136, 0.0133, 0.0180, 9.12
137, 0.0133, 0.0180, 9.12
138, 0.0133, 0.0185, 9.11
139, 0.0133, 0.0182, 9.12
140, 0.0133, 0.0181, 9.13
141, 0.0133, 0.0182, 9.12
142, 0.0133, 0.0181, 9.10
143, 0.0133, 0.0182, 9.09
144, 0.0132, 0.0183, 10.99
145, 0.0132, 0.0184, 9.10
146, 0.0132, 0.0180, 9.10
147, 0.0132, 0.0182, 9.12
148, 0.0132, 0.0186, 9.12
149, 0.0132, 0.0180, 9.09
150, 0.0131, 0.0184, 9.11
151, 0.0132, 0.0190, 9.11
152, 0.0131, 0.0182, 9.12
